Id_solucion,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Temperature_C,Solvent_Mol_Mass,Molal,Molal_Activity_Coefficient,Osmotic_Coefficient,Solvent_Activity,T_Comportamiento
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.1,0.796,0.943,0.996607767,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.2,0.767,0.945,0.993213136,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.3,0.756,0.952,0.989762761,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.4,0.755,0.963,0.986216869,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.5,0.757,0.974,0.982606052,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.6,0.763,0.986,0.97890958,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.7,0.772,0.998,0.975143148,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.8,0.783,1.011,0.971278533,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,0.9,0.795,1.025,0.967308313,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,1,0.809,1.039,0.963256064,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,1.2,0.84,1.067,0.954913995,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,1.4,0.876,1.096,0.946215438,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,1.6,0.916,1.126,0.937148992,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,1.8,0.96,1.157,0.92770916,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,2,1.009,1.188,0.917953081,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,2.5,1.147,1.266,0.892224943,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,3,1.316,1.348,0.864410074,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,3.5,1.518,1.431,0.83488691,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,4,1.762,1.517,0.803616591,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,4.5,2.04,1.598,0.771748932,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,5,2.38,1.68,0.738852479,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,5.5,2.77,1.763,0.705132183,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,6,3.22,1.845,0.671085989,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,7,4.37,2.008,0.602633537,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,8,5.9,2.163,0.536079397,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,9,7.94,2.315,0.472037428,1
1,36.46,1,1,H         ,Cl        ,25,18.01528,10,10.44,2.444,0.414539506,1
2,80.91,1,1,H         ,Br        ,25,18.01528,0.1,0.805,0.948,0.996589828,1
2,80.91,1,1,H         ,Br        ,25,18.01528,0.2,0.782,0.954,0.993148579,1
2,80.91,1,1,H         ,Br        ,25,18.01528,0.3,0.777,0.964,0.9896341,1
