Columna1,Solute_ID,Formula,Solute_Mol_Mass,Num_Cations,Num_Anions,Cation,Anion,Num_Particles,Cation_Charge,Anion_Charge,Temperature_K,Solvent_Name,Solvent_Mol_Mass,Molal,Salt_Mole_Fraction,Ion_Mole_Fraction,Solvent_Mole_Fraction,Molar,Logarithmic_Concentration,Weight_Percent,Mass_Ratio,Ionic_Strength,Molal_Activity_Coefficient,MAC_Num_Sig_Figs,Osmotic_Coefficient,OC_Num_Sig_Figs,Rational_Activity_Coefficient,Rational_Coefficient,Solvent_Activity
0,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.1,0.001798288,0.00359,0.99641,,0.199633839,0.003632,0.003646,0.1,0.796,3,0.943,3,0.798868,0.944818087,0.996607767
1,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.2,0.003590121,0.007154,0.992846,,0.398534609,0.007239,0.007292,0.2,0.767,3,0.945,3,0.772527,0.948505938,0.993213136
2,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.3,0.005375531,0.010693,0.989307,,0.596747926,0.010819,0.010938,0.3,0.756,3,0.952,3,0.764172,0.957157574,0.989762761
3,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.4,0.007154555,0.014207,0.985793,,0.794263845,0.014374,0.014583,0.4,0.755,3,0.963,3,0.765881,0.96995674,0.986216869
4,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.5,0.008927227,0.017696,0.982304,,0.991072369,0.017903,0.01823,0.5,0.757,3,0.974,3,0.770638,0.982780411,0.982606052
5,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.6,0.010693579,0.02116,0.97884,,1.187163446,0.021407,0.021876,0.6,0.763,3,0.986,3,0.779495,0.99667641,0.97890958
6,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.7,0.012453647,0.0246,0.9754,,1.382583879,0.024886,0.025522,0.7,0.772,3,0.998,3,0.791471,1.010573637,0.975143148
7,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.8,0.014207463,0.028016,0.971984,,1.577324114,0.028341,0.029167,0.8,0.783,3,1.011,4,0.80557,1.025551312,0.971278533
8,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,0.9,0.015955061,0.031408,0.968592,,1.771374544,0.031771,0.032814,0.9,0.795,3,1.025,4,0.82078,1.041558021,0.967308313
9,1,HCl       ,36.46,1,1,H         ,Cl        ,2,1,-1,298.15,Water,18.01528,1,0.017696473,0.034777,0.965223,,1.964783021,0.035177,0.036459,1,0.809,3,1.039,4,0.838149,1.057630157,0.963256064
